bldg_name,district,sq_ft,price_total,price_sq_ft,latitude,longitude,num_gyms_within_100m,num_cafes_within_100m,num_restaurants_within_100m,nearest_mtr_distance_m,nearest_mtr_name,stations_within_1km
Hopewell Centre,WAN CHAI,15806,758688,48,22.27,114.17,3,10,20,355.36,Wan Chai,3
Central Crossing,CENTRAL,10557,738990,70,22.28,114.15,11,13,20,382.0,Central,3
Harcourt House,WAN CHAI,17545,736890,42,22.28,114.17,0,0,10,376.66,Wan Chai,3
"Peninsula Office Tower, The",TSIM SHA TSUI,11210,728650,65,22.3,114.17,2,6,20,290.63,East Tsim Sha Tsui,2
PCCW Tower,QUARRY BAY,14225,711250,50,22.29,114.21,6,8,20,263.44,Quarry Bay,2
Central Crossing,CENTRAL,10159,711130,70,22.28,114.15,11,13,20,382.0,Central,3
Central Tower,CENTRAL,7898,710820,90,22.28,114.16,15,14,20,101.72,Central,4
Cosco Tower,SHEUNG WAN,19745,710820,36,22.29,114.15,10,10,20,152.08,Sheung Wan,3
PCCW Tower,QUARRY BAY,14145,707250,50,22.29,114.21,6,8,20,263.44,Quarry Bay,2
Harcourt House,WAN CHAI,16807,705894,42,22.28,114.17,0,0,10,376.66,Wan Chai,3
Central Plaza,WAN CHAI,13535,703820,52,22.28,114.17,0,0,0,225.69,Exhibition Centre,3
Tower 535,CAUSEWAY BAY,11712,702720,60,22.28,114.18,3,20,20,156.7,Causeway Bay,3
Punfet Building,MONG KOK / TAI KOK TSUI,10148,699197,68,22.32,114.16,0,6,20,300.23,Olympic,3
Peninsula Centre,TSIM SHA TSUI,30160,693680,23,22.3,114.18,0,3,20,505.39,East Tsim Sha Tsui,4
PCCW Tower,QUARRY BAY,13835,691750,50,22.29,114.21,6,8,20,263.44,Quarry Bay,2
Central Crossing,CENTRAL,10599,688935,65,22.28,114.15,11,13,20,382.0,Central,3
Central Crossing,CENTRAL,10599,688935,65,22.28,114.15,11,13,20,382.0,Central,3
Central Crossing,CENTRAL,10599,688935,65,22.28,114.15,11,13,20,382.0,Central,3
Central Crossing,CENTRAL,10599,688935,65,22.28,114.15,11,13,20,382.0,Central,3
Central Crossing,CENTRAL,10599,688935,65,22.28,114.15,11,13,20,382.0,Central,3
Three Garden Road - Champion Tower,CENTRAL,7339,682527,93,22.28,114.16,1,4,10,420.98,Admiralty,3
Millennium City 1 - Tower 01,KWUN TONG,20025,680850,34,22.31,114.22,1,3,20,231.69,Ngau Tau Kok,2
Millennium City 1 - Tower 01,KWUN TONG,20025,680850,34,22.31,114.22,1,3,20,231.69,Ngau Tau Kok,2
Millennium City 1 - Tower 01,KWUN TONG,20025,680850,34,22.31,114.22,1,3,20,231.69,Ngau Tau Kok,2
China Hong Kong City - Tower 6,TSIM SHA TSUI,22628,678840,30,22.3,114.17,0,5,15,492.26,Tsim Sha Tsui,5
Hopewell Centre,WAN CHAI,6752,675200,100,22.27,114.17,3,10,20,355.36,Wan Chai,3
New World Tower 1,CENTRAL,10270,667550,65,22.28,114.16,6,11,20,179.08,Central,4
Central Crossing,CENTRAL,10599,657138,62,22.28,114.15,11,13,20,382.0,Central,3
Central Crossing,CENTRAL,10599,657138,62,22.28,114.15,11,13,20,382.0,Central,3
One Island South,WONG CHUK HANG,29848,656656,22,22.25,114.17,0,1,3,304.2,Wong Chuk Hang,2
Hopewell Centre,WAN CHAI,15252,655836,43,22.27,114.17,3,10,20,355.36,Wan Chai,3
Hopewell Centre,WAN CHAI,15252,655836,43,22.27,114.17,3,10,20,355.36,Wan Chai,3
Hopewell Centre,WAN CHAI,15252,655836,43,22.27,114.17,3,10,20,355.36,Wan Chai,3
Central Plaza,WAN CHAI,10234,654976,64,22.28,114.17,0,0,0,225.69,Exhibition Centre,3
Wu Chung House,WAN CHAI,21818,654540,30,22.27,114.17,3,5,20,371.43,Wan Chai,2
Hopewell Centre,WAN CHAI,15182,652826,43,22.27,114.17,3,10,20,355.36,Wan Chai,3
"Nathan Road, 352",JORDAN,17056,648128,38,22.31,114.17,3,6,20,259.75,Jordan,4
"Nathan Road, 352",JORDAN,17056,648128,38,22.31,114.17,3,6,20,259.75,Jordan,4
"Nathan Road, 352",JORDAN,17056,648128,38,22.31,114.17,3,6,20,259.75,Jordan,4
"Nathan Road, 352",JORDAN,17056,648128,38,22.31,114.17,3,6,20,259.75,Jordan,4
International Commerce Centre (ICC),TSIM SHA TSUI,8617,646275,75,22.3,114.16,1,3,13,165.93,Kowloon,2
